id,pubmid
Lindahl Johanna,31774823
Njuguna Festus,31774234
Ribeiro Raul C,31774234
Kimywe Judith,31772772
Neugebauer Felix,31771486
Tuma Jan,31771486
Stieger Roland,31771486
Serra Andreas,31771486
Njenga Sammy M,31769388
Kanyi Henry M,31769388
Arnold Benjamin F,31769388
Matendechero Sultani H,31769388
Onsongo Joyce K,31769388
Panpradist Nuttada,31767540
Beck Ingrid A,31767540
Vrana Justin,31767540
Higa Nikki,31767540
McIntyre David,31767540
Ruth Parker S,31767540
So Isaac,31767540
Kline Enos C,31767540
Kanthula Ruth,31767540
Wong-On-Wing Annie,31767540
Lim Jonathan,31767540
Ko Daisy,31767540
Milne Ross,31767540
Chung Michael,31767540
Lai James,31767540
Klavins Eric D,31767540
Frenkel Lisa M,31767540
Lutz Barry R,31767540
Brander Rebecca L,31767012
Pavlinac Patricia B,31767012
Walson Judd L,31767012
John-Stewart Grace C,31767012
Weaver Marcia R,31767012
Breiman Robert F,31767012
Nasrin Dilruba,31767012
Nataro James P,31767012
Levine Myron M,31767012
Kotloff Karen L,31767012
Rosenman Evan,31766987
Sarnquist Clea,31766987
Friedberg Rina,31766987
Amuyunzu-Nyamongo Mary,31766987
Oguda Gabriel,31766987
Otieno Dorothy,31766987
Baiocchi Michael,31766987
Arika Wycliffe,31766874
Kibiti Cromwell Mwiti,31766874
Njagi Joan Murugi,31766874
Ngugi Mathew Piero,31766874
Kamau Mary,31765422
Mirie Waithira,31765422
Kimani Samuel,31765422
Mugoya Isaac,31765422
Mugwanga Ziporah,31765417
Bakhtiari Ana,31765415
Bella Assumpta Lucienne,31765415
Chu Brian K,31765415
Elvis Aba Ange,31765415
Fabrice Djouma Nembot,31765415
Gichangi Michael,31765415
Muraguri Nicholas,31765415
Pavluck Alex,31765415
Sisaleumsak Siphetthavong,31765415
Southisombath Khamphoua,31765415
Willis Rebecca,31765415
Yeo Souleymane,31765415
Mcharo Carlos,31765383
Gichuki Paul M,31765383
Mwandawiro Charles S,31765383
Njenga Sammy M,31765383
Wagner Anjuli D,31764270
Gimbel Sarah,31764270
Ásbjörnsdóttir Kristjana H,31764270
Cherutich Peter,31764270
Eastment McKenna,31764270
Einberg Jennifer,31764270
Gaitho Douglas,31764270
Guthrie Brandon L,31764270
John-Stewart Grace,31764270
Kral Alex H,31764270
Lambdin Barrot H,31764270
Liu Shan,31764270
Maina Martin,31764270
Matsuzaki Mika,31764270
Mattox Loris,31764270
Mburu Nancy,31764270
McClelland R Scott,31764270
Micek Mark A,31764270
Nduati Ruth,31764270
Njuguna Irene N,31764270
Oluoch Geoffrey,31764270
Oyiengo Laura B,31764270
Ronen Keshet,31764270
Soi Caroline,31764270
Wagenaar Bradley H,31764270
Wanje George,31764270
Wenger Lynn D,31764270
Sherr Kenneth,31764270
Padian Nancy,31764267
Mchembere Walter,31764108
Agaya Janet,31764108
Yuen Courtney M,31764108
Okelloh Douglas,31764108
Achola Millicent,31764108
Opole Joseph,31764108
Cowden Jessica,31764108
Muttai Hellen,31764108
Borgdorff Martien W,31764108
Cain Kevin P,31764108
Otieno George,31764107
Achia Thomas,31764107
Kwaro Daniel,31764107
Zielinski-Gutierrez Emily,31764107
Ojoo Sylvia,31764107
Sewe Maquins,31764107
Musingila Paul,31764107
Akelo Victor,31764107
Obor David,31764107
Nyaguara Amek,31764107
De Cock Kevin M,31764107
Borgdorff Martien W,31764107
Ogongo Paul,31763997
Steyn Adrie Jc,31763997
Karim Farina,31763997
Leslie Alasdair,31763997
Behar Samuel M,31763997
Alaii Jane,31763679
Bockh Emily,31763679
Karau Paul Bundi,31762905
Kirna Bhatt,31762905
Amayo Erastus,31762905
Joshi Mark,31762905
Ngare Stanley,31762905
Muriira Geoffrey,31762905
Bartonjo Grace,31762899
Oundo Joseph,31762899
Ng'ang'a Zipporah,31762899
Kamau Peris,31762589
Mwachala Geoffrey,31762589
Malombe Itambo,31762589
Ojiewo Chris,31762525
Monyo Emmanuel,31762525
Paul Mandira,31761001
Chalasani Satvika,31761001
Sommers Marni,31761001
Husain Scheherazade,31761001
Caffe Sonja,31761001
Zhukov Ilya,31761001
Celum Connie L,31761001
Dayton Robyn,31761001
Maksud Nankali,31761001
Digolo-Nyagah Lina,31761001
Diop Nafissatou J,31761001
Greeley Meghan,31761001
Engel Danielle Marie Claire,31761001
Kabiru Caroline W,31761000
Bologna Lydia,31760979
Stamidis Katherine V,31760979
Mwangome Martha,31760952
Tickell Kirkby D,31760941
Atlas Hannah E,31760941
Walson Judd L,31760941
Manthi Fredrick K,31759619
Winkler Alisa J,31759619
Mwachiro Michael,31759421
Kumar Himansu,31759120
Park Woncheoul,31759120
Lim Dajeong,31759120
Srikanth Krishnamoorthy,31759120
Kim Jun-Mo,31759120
Hanotte Olivier,31759120
Park Jong-Eun,31759120
Oyola Samuel O,31759120
Vanlauwe Bernard,31758384
Lane Mike,31756808
Olago Daniel,31756808
Musyoka Kelvin B,31756512
Kiiru John N,31756512
Aluvaala Eva,31756512
Omondi Protus,31756512
Chege William K,31756512
Judah Terry,31756512
Kiboi Daniel,31756512
Nganga Joseph K,31756512
Kimani Francis T,31756512
Ngari Moses M,31756291
Njunge James M,31756291
Thitiri Johnstone,31756291
Mwalekwa Laura,31756291
Mturi Neema,31756291
Mwangome Martha K,31756291
Ogwang Caroline,31756291
Nyaguara Amek,31756291
Berkley James A,31756291
Maloba May,31756242
Elson Lynne,31756189
Randu Kithi,31756189
Fillinger Ulrike,31756189
Taylor Aileen,31755824
Antwi-Agyakwa Akua K,31755021
Fombong Ayuka T,31755021
Deletre Emilie,31755021
Ekesi Sunday,31755021
Torto Baldwyn,31755021
Ominde Sheila T,31754527
Mutala Timothy M,31754527
Hsu Christopher H,31753675
Harvey Bonnie,31753675
Mohamed Abdinoor,31753675
Ehrhardt Derek,31753675
